Date,Price,Open,High,Low,Volume,Chg%
"Dec 4, 2014",61.79,61.945,61.965,61.79,0,-0.12%
"Dec 3, 2014",61.863,61.885,61.97,61.815,0,0.11%
"Dec 2, 2014",61.795,61.905,62.02,61.795,0,-0.26%
"Dec 1, 2014",61.955,62.06,62.24,61.955,0,-0.41%
"Nov 28, 2014",62.21,61.815,62.25,61.765,0,0.57%
"Nov 27, 2014",61.86,61.74,61.938,61.74,0,0.11%
"Nov 26, 2014",61.795,61.865,61.913,61.785,0,-0.11%
"Nov 25, 2014",61.865,61.915,62.045,61.85,0,0.01%
"Nov 24, 2014",61.86,61.7,61.975,61.66,0,0.15%
"Nov 21, 2014",61.767,61.845,61.905,61.745,0,-0.26%
"Nov 20, 2014",61.93,62.04,62.23,61.89,0,-0.02%
"Nov 19, 2014",61.945,61.845,62.008,61.795,0,0.36%
"Nov 18, 2014",61.725,61.735,61.885,61.705,0,-0.17%
"Nov 17, 2014",61.83,61.63,61.83,61.63,0,0.19%
"Nov 14, 2014",61.715,61.63,61.86,61.56,0,0.19%
"Nov 13, 2014",61.6,61.49,61.635,61.49,0,0.37%
"Nov 12, 2014",61.375,61.535,61.57,61.375,0,-0.23%
"Nov 11, 2014",61.515,61.57,61.65,61.515,0,0.05%
"Nov 10, 2014",61.485,61.465,61.57,61.39,0,-0.06%
"Nov 07, 2014",61.52,61.44,61.7,61.44,0,0.03%
"Nov 6, 2014",61.5,61.44,61.515,61.425,0,0.11%
"Nov 5, 2014",61.435,61.34,61.545,61.3,0,0.07%
"Nov 4, 2014",61.395,61.365,61.415,61.31,0,-0.04%
"Nov 3, 2014",61.42,61.51,61.51,61.325,0,0.02%
"Oct 31, 2014",61.405,61.365,61.615,61.3,0,-0.06%
"Oct 30, 2014",61.44,61.29,61.555,61.29,0,0.24%
"Oct 29, 2014",61.29,61.265,61.375,61.22,0,0.17%
"Oct 28, 2014",61.188,61.255,61.425,61.162,0,-0.19%
"Oct 27, 2014",61.305,61.185,61.375,61.185,0,0.22%
"Oct 24, 2014",61.17,61.17,61.17,61.17,0,0.00%
"Oct 23, 2014",61.17,61.16,61.21,61.1,0,-0.05%
"Oct 22, 2014",61.2,61.095,61.315,61.015,0,0.08%
"Oct 21, 2014",61.15,61.315,61.377,61.12,0,-0.14%
"Oct 20, 2014",61.235,61.315,61.385,61.185,0,-0.21%
"Oct 17, 2014",61.365,61.765,61.765,61.36,0,-0.77%
"Oct 16, 2014",61.84,61.485,61.94,61.435,0,0.75%
"Oct 15, 2014",61.38,61.31,61.41,61.25,0,-0.03%
"Oct 14, 2014",61.4,60.945,61.48,60.935,0,0.64%
"Oct 13, 2014",61.01,61.285,61.315,61.01,0,-0.45%
"Oct 10, 2014",61.285,61.165,61.365,61.125,0,0.38%
"Oct 09, 2014",61.055,61.145,61.145,60.91,0,-0.50%
"Oct 08, 2014",61.36,61.47,61.525,61.31,0,0.09%
"Oct 07, 2014",61.305,61.465,61.485,61.28,0,-0.39%
"Oct 6, 2014",61.545,61.545,61.545,61.545,0,0.00%
"Oct 3, 2014",61.545,61.545,61.545,61.545,0,0.00%
"Oct 2, 2014",61.545,61.72,61.72,61.545,0,-0.29%
"Oct 1, 2014",61.725,61.835,61.965,61.593,0,-0.35%
"Sep 30, 2014",61.94,61.615,61.94,61.565,0,0.62%
"Sep 29, 2014",61.56,61.155,61.62,61.155,0,0.68%
"Sep 26, 2014",61.145,61.345,61.625,61.015,0,-0.31%
"Sep 25, 2014",61.335,60.965,61.42,60.925,0,0.64%
"Sep 24, 2014",60.945,61.045,61.065,60.905,0,-0.18%
"Sep 23, 2014",61.055,60.955,61.055,60.875,0,0.18%
"Sep 22, 2014",60.945,60.795,60.945,60.755,0,0.14%
"Sep 19, 2014",60.86,60.78,60.9,60.73,0,0.20%
"Sep 18, 2014",60.74,61.115,61.22,60.74,0,-0.29%
"Sep 17, 2014",60.915,60.985,61.043,60.83,0,-0.24%
"Sep 16, 2014",61.06,61.025,61.165,61.007,0,-0.07%
"Sep 15, 2014",61.105,60.655,61.175,60.655,0,0.74%
"Sep 12, 2014",60.655,60.975,61.025,60.645,0,-0.45%
"Sep 11, 2014",60.93,60.845,60.945,60.72,0,0.00%
"Sep 10, 2014",60.93,60.78,61.045,60.76,0,0.54%
"Sep 09, 2014",60.605,60.435,60.673,60.405,0,0.55%
"Sep 08, 2014",60.275,60.305,60.325,60.212,0,-0.20%
"Sep 05, 2014",60.395,60.445,60.505,60.38,0,0.06%
"Sep 4, 2014",60.36,60.465,60.49,60.355,0,-0.21%
"Sep 3, 2014",60.49,60.605,60.695,60.335,0,-0.32%
"Sep 2, 2014",60.685,60.585,60.695,60.495,0,0.26%
"Sep 1, 2014",60.53,60.51,60.535,60.425,0,0.02%
"Aug 29, 2014",60.52,60.51,60.55,60.47,0,0.03%
"Aug 28, 2014",60.5,60.405,60.698,60.365,0,0.07%
"Aug 27, 2014",60.455,60.485,60.515,60.35,0,0.03%
"Aug 26, 2014",60.435,60.505,60.58,60.435,0,-0.22%
"Aug 25, 2014",60.57,60.555,60.58,60.405,0,0.17%
"Aug 22, 2014",60.47,60.495,60.56,60.365,0,-0.34%
"Aug 21, 2014",60.675,60.695,60.8,60.615,0,0.10%
"Aug 20, 2014",60.615,60.845,60.885,60.52,0,-0.10%
"Aug 19, 2014",60.675,60.775,60.785,60.645,0,-0.17%
"Aug 18, 2014",60.78,60.78,60.78,60.78,0,0.00%
"Aug 15, 2014",60.78,60.82,60.85,60.78,0,0.02%
"Aug 14, 2014",60.765,61.105,61.12,60.765,0,-0.54%
"Aug 13, 2014",61.095,61.095,61.315,61.095,0,0.02%
